,ay,aa,ey,t,ow,ah,ih,er,s,eh
aa_aa,33,766.5,0,0,112.5,88.5,0,1,0,0.5
aa_eh,39.5,198.5,0,3.5,382.5,215.5,1,25.5,0,109.5
ah_aa,10.5,469.5,0,1,322.5,187.5,0,3.5,0,2.5
ah_ah,1,0,0,0,49,935.5,1,6.5,0,2
ah_ay,661.5,26.5,4.5,0,27.5,311,0,6,0,0.5
ah_eh,11.5,0,29.5,1,55.5,591,27.5,17,0,237
ah_er,3.5,4,0,1,54,601.5,15,336.5,0,7.5
ah_ey,51.5,0,559.5,0,61,268,8.5,1.5,0,42
ah_ih,4,1.5,41,0,69,465,180,48.5,0,87.5
ah_ow,4.5,4.5,0.5,3,637,344.5,1.5,3,0,3.5
ah_s,0,2.5,0,100,0.5,630,148,3,470,2
ah_t,0,0.5,0,212.5,49,390,42,92.5,0,5.5
ay_aa,497,157,0.5,0.5,115,241,0,4,0,4.5
ay_ay,873,2.5,6.5,0,12.5,150.5,0,6,0,1
ay_eh,393.5,5,55.5,0.5,64,418,1.5,26.5,0,35
eh_eh,0,0,17,0,11.5,74.5,32.5,6.5,0,854
er_aa,16.5,279.5,0,0,360.5,140,1,193,0,5.5
er_ay,382,28,11.5,0.5,101.5,361,1,145,0,4
er_eh,13,0,17,1.5,148,428,37.5,129,0,235.5
er_er,2.5,2,1,0,24.5,67,26,865.5,0,14
er_ey,36.5,0,290,0,254,232.5,60.5,54.5,0,79
er_ih,0,2,13,2,67.5,198,384,253.5,0,64.5
er_ow,10,10,0,1,465.5,264,4,233,0,15.5
er_t,0,1,1.5,383.5,31,133,77,529.5,1.5,13.5
ey_aa,57,98.5,65.5,4,540,104.5,6,6,0,111
ey_ay,363.5,3.5,248.5,0,128,212,2.5,10,0,39.5
ey_eh,4,0,555.5,0,26,30.5,43.5,3.5,0,335
ey_ey,0,0,960,0,1.5,1,12.5,0,0,25
ih_aa,29,363,0.5,2,311,98,42.5,23.5,0,95.5
ih_ay,448.5,23.5,47,0.5,63,319.5,16,37,0,47
ih_eh,0,0,38.5,0.5,9.5,45.5,298,6.5,0,554
ih_ey,4.5,0,613.5,0,9,21.5,197.5,5.5,0,127.5
ih_ih,0,0,19,0,2.5,4.5,919,1.5,0,11.5
ih_ow,1.5,4,21.5,2,594.5,67.5,92,15.5,0,172
ih_t,0,0,0.5,85,5,26,573,12,0.5,10.5
ow_aa,9.5,260.5,0,1.5,616,105,0,9.5,0,0
ow_ay,497.5,13,13.5,1,187.5,289.5,0,10.5,0,1.5
ow_eh,8.5,0,14,2,445,198.5,6.5,17.5,0,302
ow_ey,21.5,0,401.5,0,384,76.5,5,1,0,106
ow_ow,0.5,2,0,0.5,917,79,0.5,0.5,0,2.5
s_aa,3.5,81,0,506,2.5,493.5,0,15.5,380,2
s_ay,89.5,11,9,368.5,0,731,8.5,14,201.5,2
s_eh,0,0,7.5,133.5,0.5,198,406.5,1.5,263.5,121
s_er,0,3,1,74,7,355,356,34,294,3
s_ey,0,1.5,184,114,0,43,505.5,3,61,47
s_ih,0,0.5,0,7.5,0,5.5,960,0,350.5,1.5
s_ow,0,2,1,241.5,79,362.5,100,1.5,342,13
s_s,0,0,0,913.5,0,0,0,0,984,0
s_t,0,1.5,0,681.5,0,19,72,20.5,687,0.5
t_aa,18,449.5,0,542.5,123.5,126,0,13.5,1,7.5
t_ay,352,46.5,20,339.5,12,364,1.5,67.5,1,12
t_eh,0,0.5,3,459.5,48,126.5,46.5,53,0,254
t_ey,3.5,0,349,272,16.5,54.5,105.5,19,0,123
t_ow,0,9.5,1.5,516,572,83,7,24,1.5,37.5
t_t,0,0,0,897,0,8,7.5,14,3.5,1
